Time		Case1		Case2		Case3		Case4
483		675525.5848284712		688012.9666764718		677837.0215641428		689781.3474549674
484		651142.2996944843		669037.9953517512		677837.0215641428		689781.3474549674
485		652565.7778381748		670881.6849196075		677837.0215641428		689781.3474549674
486		655574.990892295		672725.3744874637		660850.8635906199		675056.4217801808
487		658584.2039464152		674569.06405532		660850.8635906199		675056.4217801808
488		661593.4170005353		676412.7536231761		660850.8635906199		675056.4217801808
489		664602.6300546555		678256.4431910325		669878.5027565917		680587.4904873607
490		663292.2995173476		680100.1327588888		669878.5027565917		680587.4904873607
491		666301.5125714679		681943.822326745		669878.5027565917		680587.4904873607
492		669310.7256255881		683787.5118946013		674686.1430929869		686118.5591945407
493		667497.082874478		685631.2014624575		674686.1430929869		686118.5591945407
494		670506.2959285981		687474.8910303138		674686.1430929869		686118.5591945407
495		673415.9642208668		689318.58059817		678890.9264537283		691649.6279017207
496		672205.1784454104		691162.2701660263		678890.9264537283		691649.6279017207
497		675214.3914995306		693005.9597338826		678890.9264537283		691649.6279017207
498		678223.6045536508		694849.6493017388		683698.5667901236		697180.6966089007
499		677012.8187781944		696693.3388695951		683698.5667901236		697180.6966089007
500		679922.4870704631		698537.0284374513		683698.5667901236		697180.6966089007
501		682931.7001245833		700380.7180053075		686802.9925372056		702711.7653160807
502		684290.640678546		702224.4075731639		686802.9925372056		702711.7653160807
503		687170.7785532108		704068.0971410201		686802.9925372056		702711.7653160807
504		690179.991607331		705911.7867088764		695754.4986128777		708242.8340232606
505		667769.6669221404		686655.4821288508		695754.4986128777		708242.8340232606
506		670778.8799762606		688217.838441402		695754.4986128777		708242.8340232606
507		673788.0930303808		690164.8020664096		679462.1448013902		692673.9085825586
508		671974.4502792705		692111.7656914173		679462.1448013902		692673.9085825586
509		674983.6633333908		694058.7293164248		679462.1448013902		692673.9085825586
510		677893.3316256594		696005.6929414326		683666.9281621317		697360.9775238233
511		676682.5458502031		697952.6565664401		683666.9281621317		697360.9775238233
512		679691.7589043233		699899.6201914479		683666.9281621317		697360.9775238233
513		682700.9719584435		701846.5838164556		688474.5684985269		703201.8684024572
514		681490.1861829872		703793.5474414632		688474.5684985269		703201.8684024572
515		684399.8544752558		705740.5110664709		688474.5684985269		703201.8684024572
516		687409.067529376		707687.4746914785		693282.2088349222		709042.7592810912
517		686198.2817539197		709634.4383164862		693282.2088349222		709042.7592810912
518		694976.6044948861		711581.4019414937		693282.2088349222		709042.7592810912
519		697985.8175490063		713528.3655665015		698089.8491713174		714883.6501597251
520		696675.4870116984		715475.3291915092		698089.8491713174		714883.6501597251
521		699684.7000658186		717422.2928165168		698089.8491713174		714883.6501597251
522		702693.9131199388		719369.2564415245		708666.5991945589		720724.541038359
523		700880.2703688287		721316.2200665321		708666.5991945589		720724.541038359
524		703889.4834229489		723263.1836915398		708666.5991945589		720724.541038359
525		706799.1517152175		725210.1473165473		712871.3825553004		726565.431916993
526		684488.3717918785		706057.1167936731		712871.3825553004		726565.431916993
527		687497.5848459987		707722.7471633756		712871.3825553004		726565.431916993
528		690506.7979001189		709724.9089314772		696579.0287438129		711306.3286477451
529		689296.0121246625		711727.0706995791		696579.0287438129		711306.3286477451
530		692205.6804169312		713729.2324676808		696579.0287438129		711306.3286477451
531		695214.8934710514		715731.3942357826		701386.6690802082		716303.2197604636
532		694004.107695595		717733.5560038843		701386.6690802082		716303.2197604636
533		702782.4304365615		719735.717771986		701386.6690802082		716303.2197604636
534		705791.6434906817		721737.8795400878		706194.3094166034		722309.7050683803
535		704481.3129533738		723740.0413081895		706194.3094166034		722309.7050683803
536		707490.5260074938		725742.2030762912		706194.3094166034		722309.7050683803
537		710499.7390616141		727744.364844393		716771.0594398449		728316.190376297
538		704466.0974809275		729746.5266124946		716771.0594398449		728316.190376297
